date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:20	374276/374276	---M--	200	added ('OK')	image/png	etag:%225b604-67e2872b-a3d56bec2ddae1f7;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/shapes/03.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/shapes/03.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:20	337668/337668	---M--	200	added ('OK')	image/png	etag:%2252704-67e2872b-74935f1f58279fbd;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header3.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header3.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:22	400278/400278	---M--	200	added ('OK')	image/png	etag:%2261b96-67e2872b-b13fcfef8aa950c;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header5.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header5.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:22	338017/338017	---M--	200	added ('OK')	image/png	etag:%2252861-67e2872b-fecb8a527ffeb3b1;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header1.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header1.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:22	125927/125927	---M-Z	200	added ('OK')	text/html	etag:%221ebe7-67e2872b-9471210c11c7bbdf;gz%22	https://templates.iqonic.design/hope-ui/html/dist/dashboard/extra/privacy-policy.html	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/dashboard/extra/privacy-policy.html	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:23	362255/362255	---M--	200	added ('OK')	image/png	etag:%225870f-67e2872b-b49e094066546380;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header4.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header4.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:23	121293/121293	---M-Z	200	added ('OK')	text/html	etag:%221d9cd-67e2872b-6b58c7f04a950f51;gz%22	https://templates.iqonic.design/hope-ui/html/dist/dashboard/extra/terms-of-service.html	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/dashboard/extra/terms-of-service.html	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:23	801/801	---M--	200	added ('OK')	image/png	etag:%22321-67e2872b-9bc3b4cee4d7e573;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/01.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/01.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:23	744/744	---M--	200	added ('OK')	image/png	etag:%222e8-67e2872b-24fbd85f9b90ba75;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/01.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/01.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:23	370160/370160	---M--	200	added ('OK')	image/png	etag:%225a5f0-67e2872b-a5da97fb5d7a1a7a;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header2.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/dashboard/top-header2.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
